,0
"(380, -41228, 'cfg')","(14, 2, 2)"
"(380, -41228, 'rmse')",0.0
"(380, -41228, 'sum')",0
"(554, -41228, 'cfg')","(14, 1, 2)"
"(554, -41228, 'rmse')",0.0
"(554, -41228, 'sum')",0
"(516, -41228, 'cfg')","(7, 2, 4)"
"(516, -41228, 'rmse')",0.0
"(516, -41228, 'sum')",0
"(399, -41228, 'cfg')","(28, 1, 4)"
"(399, -41228, 'rmse')",0.0
"(399, -41228, 'sum')",0
"(459, -41228, 'cfg')","(28, 1, 8)"
"(459, -41228, 'rmse')",0.0
"(459, -41228, 'sum')",0
"(517, -41228, 'cfg')","(14, 1, 4)"
"(517, -41228, 'rmse')",0.0
"(517, -41228, 'sum')",0
"(580, -41228, 'cfg')","(28, 1, 2)"
"(580, -41228, 'rmse')",0.0
"(580, -41228, 'sum')",0
"(589, -41228, 'cfg')","(28, 1, 2)"
"(589, -41228, 'rmse')",0.0
"(589, -41228, 'sum')",0
"(601, -41228, 'cfg')","(28, 1, 2)"
"(601, -41228, 'rmse')",0.0
"(601, -41228, 'sum')",0
"(280, -38394, 'cfg')","(28, 1, 4)"
"(280, -38394, 'rmse')",0.0
"(280, -38394, 'sum')",0
"(380, -38394, 'cfg')","(28, 1, 2)"
"(380, -38394, 'rmse')",0.0
"(380, -38394, 'sum')",0
"(554, -38394, 'cfg')","(14, 1, 4)"
"(554, -38394, 'rmse')",0.0
"(554, -38394, 'sum')",0
"(516, -38394, 'cfg')","(28, 1, 8)"
"(516, -38394, 'rmse')",0.0
"(516, -38394, 'sum')",0
"(399, -38394, 'cfg')","(14, 1, 4)"
"(399, -38394, 'rmse')",0.0
"(399, -38394, 'sum')",0
"(459, -38394, 'cfg')","(28, 1, 2)"
"(459, -38394, 'rmse')",0.0
"(459, -38394, 'sum')",0
"(517, -38394, 'cfg')","(7, 1, 4)"
"(517, -38394, 'rmse')",0.0
"(517, -38394, 'sum')",0
"(580, -38394, 'cfg')","(28, 1, 8)"
"(580, -38394, 'rmse')",0.0
"(580, -38394, 'sum')",0
"(589, -38394, 'cfg')","(28, 1, 2)"
"(589, -38394, 'rmse')",0.0
"(589, -38394, 'sum')",0
"(280, -44510, 'cfg')","(14, 2, 2)"
"(280, -44510, 'rmse')",0.0
"(280, -44510, 'sum')",0
"(380, -44510, 'cfg')","(28, 1, 2)"
"(380, -44510, 'rmse')",0.0
"(380, -44510, 'sum')",0
"(554, -44510, 'cfg')","(14, 1, 2)"
"(554, -44510, 'rmse')",0.0
"(554, -44510, 'sum')",0
"(516, -44510, 'cfg')","(28, 1, 2)"
"(516, -44510, 'rmse')",0.0
"(516, -44510, 'sum')",0
"(399, -44510, 'cfg')","(14, 1, 2)"
"(399, -44510, 'rmse')",0.0
"(399, -44510, 'sum')",0
"(459, -44510, 'cfg')","(28, 1, 2)"
"(459, -44510, 'rmse')",0.0
"(459, -44510, 'sum')",0
"(517, -44510, 'cfg')","(14, 1, 2)"
"(517, -44510, 'rmse')",0.0
"(517, -44510, 'sum')",0
"(580, -44510, 'cfg')","(7, 2, 4)"
"(580, -44510, 'rmse')",0.0
"(580, -44510, 'sum')",0
"(589, -44510, 'cfg')","(7, 1, 2)"
"(589, -44510, 'rmse')",0.0
"(589, -44510, 'sum')",0
"(601, -44510, 'cfg')","(28, 1, 2)"
"(601, -44510, 'rmse')",0.0
"(601, -44510, 'sum')",0
"(280, -12309, 'cfg')","(14, 1, 2)"
"(280, -12309, 'rmse')",0.0
"(280, -12309, 'sum')",0
"(380, -12309, 'cfg')","(14, 1, 4)"
"(380, -12309, 'rmse')",0.0
"(380, -12309, 'sum')",0
"(554, -12309, 'cfg')","(28, 1, 2)"
"(554, -12309, 'rmse')",0.0
"(554, -12309, 'sum')",0
"(516, -12309, 'cfg')","(7, 1, 8)"
"(516, -12309, 'rmse')",0.0
"(516, -12309, 'sum')",0
"(399, -12309, 'cfg')","(7, 1, 2)"
"(399, -12309, 'rmse')",0.0
"(399, -12309, 'sum')",0
"(459, -12309, 'cfg')","(7, 1, 2)"
"(459, -12309, 'rmse')",0.0
"(459, -12309, 'sum')",0
"(517, -12309, 'cfg')","(7, 1, 4)"
"(517, -12309, 'rmse')",0.0
"(517, -12309, 'sum')",0
"(580, -12309, 'cfg')","(28, 1, 2)"
"(580, -12309, 'rmse')",0.0
"(580, -12309, 'sum')",0
"(589, -12309, 'cfg')","(14, 1, 2)"
"(589, -12309, 'rmse')",0.0
"(589, -12309, 'sum')",0
"(280, -46738, 'cfg')","(28, 0, 8)"
"(280, -46738, 'rmse')",0.6
"(280, -46738, 'sum')",2
"(380, -46738, 'cfg')","(7, 0, 4)"
"(380, -46738, 'rmse')",1.18
"(380, -46738, 'sum')",14
"(554, -46738, 'cfg')","(7, 1, 8)"
"(554, -46738, 'rmse')",0.72
"(554, -46738, 'sum')",5
"(516, -46738, 'cfg')","(28, 1, 8)"
"(516, -46738, 'rmse')",0.61
"(516, -46738, 'sum')",3
"(399, -46738, 'cfg')","(7, 2, 8)"
"(399, -46738, 'rmse')",0.83
"(399, -46738, 'sum')",5
"(459, -46738, 'cfg')","(14, 2, 8)"
"(459, -46738, 'rmse')",0.82
"(459, -46738, 'sum')",11
"(517, -46738, 'cfg')","(14, 1, 4)"
"(517, -46738, 'rmse')",0.86
"(517, -46738, 'sum')",14
"(580, -46738, 'cfg')","(7, 2, 2)"
"(580, -46738, 'rmse')",0.64
"(580, -46738, 'sum')",4
"(589, -46738, 'cfg')","(28, 1, 2)"
"(589, -46738, 'rmse')",1.01
"(589, -46738, 'sum')",13
"(601, -46738, 'cfg')","(7, 1, 8)"
"(601, -46738, 'rmse')",0.41
"(601, -46738, 'sum')",4
"(280, -40290, 'cfg')","(14, 1, 2)"
"(280, -40290, 'rmse')",0.0
"(280, -40290, 'sum')",0
"(380, -40290, 'cfg')","(7, 1, 4)"
"(380, -40290, 'rmse')",0.0
"(380, -40290, 'sum')",0
"(554, -40290, 'cfg')","(28, 1, 2)"
"(554, -40290, 'rmse')",0.0
"(554, -40290, 'sum')",0
"(516, -40290, 'cfg')","(7, 1, 8)"
"(516, -40290, 'rmse')",0.0
"(516, -40290, 'sum')",0
"(399, -40290, 'cfg')","(28, 1, 2)"
"(399, -40290, 'rmse')",0.0
"(399, -40290, 'sum')",0
"(459, -40290, 'cfg')","(28, 1, 2)"
"(459, -40290, 'rmse')",0.0
"(459, -40290, 'sum')",0
"(517, -40290, 'cfg')","(28, 1, 2)"
"(517, -40290, 'rmse')",0.0
"(517, -40290, 'sum')",0
"(580, -40290, 'cfg')","(28, 1, 2)"
"(580, -40290, 'rmse')",0.0
"(580, -40290, 'sum')",0
"(589, -40290, 'cfg')","(14, 1, 2)"
"(589, -40290, 'rmse')",0.0
"(589, -40290, 'sum')",0
"(280, -11999, 'cfg')","(7, 1, 8)"
"(280, -11999, 'rmse')",0.0
"(280, -11999, 'sum')",0
"(380, -11999, 'cfg')","(28, 1, 8)"
"(380, -11999, 'rmse')",0.0
"(380, -11999, 'sum')",0
"(554, -11999, 'cfg')","(28, 1, 2)"
"(554, -11999, 'rmse')",0.0
"(554, -11999, 'sum')",0
"(516, -11999, 'cfg')","(28, 1, 2)"
"(516, -11999, 'rmse')",0.0
"(516, -11999, 'sum')",0
"(399, -11999, 'cfg')","(14, 1, 2)"
"(399, -11999, 'rmse')",0.0
"(399, -11999, 'sum')",0
"(459, -11999, 'cfg')","(7, 1, 8)"
"(459, -11999, 'rmse')",0.0
"(459, -11999, 'sum')",0
"(517, -11999, 'cfg')","(14, 1, 2)"
"(517, -11999, 'rmse')",0.0
"(517, -11999, 'sum')",0
"(580, -11999, 'cfg')","(28, 1, 4)"
"(580, -11999, 'rmse')",0.0
"(580, -11999, 'sum')",0
"(589, -11999, 'cfg')","(28, 1, 2)"
"(589, -11999, 'rmse')",0.0
"(589, -11999, 'sum')",0
"(280, -40739, 'cfg')","(14, 1, 8)"
"(280, -40739, 'rmse')",0.0
"(280, -40739, 'sum')",0
"(380, -40739, 'cfg')","(28, 1, 2)"
"(380, -40739, 'rmse')",0.0
"(380, -40739, 'sum')",0
"(554, -40739, 'cfg')","(14, 1, 2)"
"(554, -40739, 'rmse')",0.0
"(554, -40739, 'sum')",0
"(516, -40739, 'cfg')","(28, 1, 2)"
"(516, -40739, 'rmse')",0.0
"(516, -40739, 'sum')",0
"(399, -40739, 'cfg')","(14, 1, 2)"
"(399, -40739, 'rmse')",0.0
"(399, -40739, 'sum')",0
"(459, -40739, 'cfg')","(28, 1, 2)"
"(459, -40739, 'rmse')",0.0
"(459, -40739, 'sum')",0
"(517, -40739, 'cfg')","(28, 1, 4)"
"(517, -40739, 'rmse')",0.0
"(517, -40739, 'sum')",0
"(580, -40739, 'cfg')","(28, 1, 4)"
"(580, -40739, 'rmse')",0.0
"(580, -40739, 'sum')",0
"(380, -41541, 'cfg')","(28, 1, 2)"
"(380, -41541, 'rmse')",0.0
"(380, -41541, 'sum')",0
"(554, -41541, 'cfg')","(28, 1, 2)"
"(554, -41541, 'rmse')",0.0
"(554, -41541, 'sum')",0
"(516, -41541, 'cfg')","(28, 1, 2)"
"(516, -41541, 'rmse')",0.0
"(516, -41541, 'sum')",0
"(399, -41541, 'cfg')","(14, 1, 2)"
"(399, -41541, 'rmse')",0.0
"(399, -41541, 'sum')",0
"(459, -41541, 'cfg')","(28, 1, 2)"
"(459, -41541, 'rmse')",0.0
"(459, -41541, 'sum')",0
"(517, -41541, 'cfg')","(28, 1, 2)"
"(517, -41541, 'rmse')",0.0
"(517, -41541, 'sum')",0
"(580, -41541, 'cfg')","(28, 1, 2)"
"(580, -41541, 'rmse')",0.0
"(580, -41541, 'sum')",0
"(280, -42557, 'cfg')","(7, 1, 8)"
"(280, -42557, 'rmse')",0.0
"(280, -42557, 'sum')",0
"(380, -42557, 'cfg')","(28, 1, 8)"
"(380, -42557, 'rmse')",0.0
"(380, -42557, 'sum')",0
"(554, -42557, 'cfg')","(28, 1, 8)"
"(554, -42557, 'rmse')",0.0
"(554, -42557, 'sum')",0
"(516, -42557, 'cfg')","(28, 1, 8)"
"(516, -42557, 'rmse')",0.0
"(516, -42557, 'sum')",0
"(399, -42557, 'cfg')","(14, 1, 2)"
"(399, -42557, 'rmse')",0.0
"(399, -42557, 'sum')",0
"(459, -42557, 'cfg')","(28, 1, 8)"
"(459, -42557, 'rmse')",0.0
"(459, -42557, 'sum')",0
"(517, -42557, 'cfg')","(28, 1, 2)"
"(517, -42557, 'rmse')",0.0
"(517, -42557, 'sum')",0
"(580, -42557, 'cfg')","(28, 1, 8)"
"(580, -42557, 'rmse')",0.0
"(580, -42557, 'sum')",0
"(589, -42557, 'cfg')","(28, 1, 4)"
"(589, -42557, 'rmse')",0.0
"(589, -42557, 'sum')",0
"(280, -32862, 'cfg')","(28, 1, 4)"
"(280, -32862, 'rmse')",0.0
"(280, -32862, 'sum')",0
"(380, -32862, 'cfg')","(7, 1, 8)"
"(380, -32862, 'rmse')",0.0
"(380, -32862, 'sum')",0
"(554, -32862, 'cfg')","(7, 1, 8)"
"(554, -32862, 'rmse')",0.0
"(554, -32862, 'sum')",0
"(516, -32862, 'cfg')","(7, 2, 8)"
"(516, -32862, 'rmse')",0.0
"(516, -32862, 'sum')",0
"(399, -32862, 'cfg')","(14, 1, 2)"
"(399, -32862, 'rmse')",0.0
"(399, -32862, 'sum')",0
"(459, -32862, 'cfg')","(28, 1, 4)"
"(459, -32862, 'rmse')",0.0
"(459, -32862, 'sum')",0
"(517, -32862, 'cfg')","(28, 1, 2)"
"(517, -32862, 'rmse')",0.0
"(517, -32862, 'sum')",0
"(580, -32862, 'cfg')","(14, 1, 8)"
"(580, -32862, 'rmse')",0.0
"(580, -32862, 'sum')",0
"(280, -45905, 'cfg')","(7, 0, 8)"
"(280, -45905, 'rmse')",0.3
"(280, -45905, 'sum')",1
"(380, -45905, 'cfg')","(7, 0, 8)"
"(380, -45905, 'rmse')",0.29
"(380, -45905, 'sum')",1
"(554, -45905, 'cfg')","(14, 2, 2)"
"(554, -45905, 'rmse')",0.03
"(554, -45905, 'sum')",0
"(516, -45905, 'cfg')","(14, 1, 2)"
"(516, -45905, 'rmse')",0.39
"(516, -45905, 'sum')",2
"(399, -45905, 'cfg')","(14, 1, 4)"
"(399, -45905, 'rmse')",0.33
"(399, -45905, 'sum')",1
"(459, -45905, 'cfg')","(7, 1, 8)"
"(459, -45905, 'rmse')",0.41
"(459, -45905, 'sum')",2
"(517, -45905, 'cfg')","(14, 2, 8)"
"(517, -45905, 'rmse')",0.33
"(517, -45905, 'sum')",2
"(580, -45905, 'cfg')","(14, 2, 2)"
"(580, -45905, 'rmse')",0.44
"(580, -45905, 'sum')",4
"(589, -45905, 'cfg')","(7, 0, 2)"
"(589, -45905, 'rmse')",0.4
"(589, -45905, 'sum')",2
"(601, -45905, 'cfg')","(14, 2, 4)"
"(601, -45905, 'rmse')",0.38
"(601, -45905, 'sum')",2
"(380, -46737, 'cfg')","(7, 0, 4)"
"(380, -46737, 'rmse')",0.28
"(380, -46737, 'sum')",0
"(554, -46737, 'cfg')","(7, 2, 8)"
"(554, -46737, 'rmse')",0.08
"(554, -46737, 'sum')",0
"(516, -46737, 'cfg')","(7, 2, 8)"
"(516, -46737, 'rmse')",0.27
"(516, -46737, 'sum')",1
"(399, -46737, 'cfg')","(7, 2, 2)"
"(399, -46737, 'rmse')",0.11
"(399, -46737, 'sum')",0
"(459, -46737, 'cfg')","(7, 1, 2)"
"(459, -46737, 'rmse')",0.24
"(459, -46737, 'sum')",0
"(517, -46737, 'cfg')","(7, 0, 2)"
"(517, -46737, 'rmse')",0.45
"(517, -46737, 'sum')",3
"(580, -46737, 'cfg')","(7, 1, 4)"
"(580, -46737, 'rmse')",0.59
"(580, -46737, 'sum')",2
"(589, -46737, 'cfg')","(28, 1, 4)"
"(589, -46737, 'rmse')",0.44
"(589, -46737, 'sum')",3
"(280, -44225, 'cfg')","(7, 1, 8)"
"(280, -44225, 'rmse')",0.0
"(280, -44225, 'sum')",0
"(380, -44225, 'cfg')","(28, 1, 2)"
"(380, -44225, 'rmse')",0.0
"(380, -44225, 'sum')",0
"(554, -44225, 'cfg')","(14, 2, 8)"
"(554, -44225, 'rmse')",0.0
"(554, -44225, 'sum')",0
"(516, -44225, 'cfg')","(14, 1, 4)"
"(516, -44225, 'rmse')",0.0
"(516, -44225, 'sum')",0
"(399, -44225, 'cfg')","(28, 1, 4)"
"(399, -44225, 'rmse')",0.0
"(399, -44225, 'sum')",0
"(459, -44225, 'cfg')","(14, 1, 2)"
"(459, -44225, 'rmse')",0.0
"(459, -44225, 'sum')",0
"(517, -44225, 'cfg')","(28, 1, 4)"
"(517, -44225, 'rmse')",0.0
"(517, -44225, 'sum')",0
"(580, -44225, 'cfg')","(14, 1, 2)"
"(580, -44225, 'rmse')",0.0
"(580, -44225, 'sum')",0
"(589, -44225, 'cfg')","(28, 1, 2)"
"(589, -44225, 'rmse')",0.0
"(589, -44225, 'sum')",0
"(280, -37287, 'cfg')","(7, 1, 8)"
"(280, -37287, 'rmse')",0.0
"(280, -37287, 'sum')",0
"(380, -37287, 'cfg')","(28, 1, 2)"
"(380, -37287, 'rmse')",0.0
"(380, -37287, 'sum')",0
"(554, -37287, 'cfg')","(7, 1, 2)"
"(554, -37287, 'rmse')",0.0
"(554, -37287, 'sum')",0
"(516, -37287, 'cfg')","(14, 2, 2)"
"(516, -37287, 'rmse')",0.0
"(516, -37287, 'sum')",0
"(399, -37287, 'cfg')","(7, 2, 2)"
"(399, -37287, 'rmse')",0.0
"(399, -37287, 'sum')",0
"(459, -37287, 'cfg')","(14, 1, 2)"
"(459, -37287, 'rmse')",0.0
"(459, -37287, 'sum')",0
"(517, -37287, 'cfg')","(28, 1, 2)"
"(517, -37287, 'rmse')",0.0
"(517, -37287, 'sum')",0
"(580, -37287, 'cfg')","(7, 1, 2)"
"(580, -37287, 'rmse')",0.0
"(580, -37287, 'sum')",0
"(589, -37287, 'cfg')","(28, 1, 2)"
"(589, -37287, 'rmse')",0.0
"(589, -37287, 'sum')",0
"(280, -45169, 'cfg')","(28, 1, 2)"
"(280, -45169, 'rmse')",0.0
"(280, -45169, 'sum')",0
"(380, -45169, 'cfg')","(28, 1, 2)"
"(380, -45169, 'rmse')",0.0
"(380, -45169, 'sum')",0
"(516, -45169, 'cfg')","(14, 2, 2)"
"(516, -45169, 'rmse')",0.0
"(516, -45169, 'sum')",0
"(399, -45169, 'cfg')","(14, 1, 2)"
"(399, -45169, 'rmse')",0.0
"(399, -45169, 'sum')",0
"(459, -45169, 'cfg')","(28, 1, 8)"
"(459, -45169, 'rmse')",0.0
"(459, -45169, 'sum')",0
"(517, -45169, 'cfg')","(28, 1, 2)"
"(517, -45169, 'rmse')",0.0
"(517, -45169, 'sum')",0
"(580, -45169, 'cfg')","(28, 1, 2)"
"(580, -45169, 'rmse')",0.0
"(580, -45169, 'sum')",0
"(589, -45169, 'cfg')","(28, 1, 2)"
"(589, -45169, 'rmse')",0.0
"(589, -45169, 'sum')",0
"(280, -35459, 'cfg')","(14, 1, 8)"
"(280, -35459, 'rmse')",0.0
"(280, -35459, 'sum')",0
"(380, -35459, 'cfg')","(7, 2, 4)"
"(380, -35459, 'rmse')",0.0
"(380, -35459, 'sum')",0
"(554, -35459, 'cfg')","(28, 1, 2)"
"(554, -35459, 'rmse')",0.0
"(554, -35459, 'sum')",0
"(516, -35459, 'cfg')","(28, 1, 2)"
"(516, -35459, 'rmse')",0.0
"(516, -35459, 'sum')",0
"(399, -35459, 'cfg')","(28, 1, 2)"
"(399, -35459, 'rmse')",0.0
"(399, -35459, 'sum')",0
"(459, -35459, 'cfg')","(28, 1, 4)"
"(459, -35459, 'rmse')",0.0
"(459, -35459, 'sum')",0
"(517, -35459, 'cfg')","(7, 1, 2)"
"(517, -35459, 'rmse')",0.0
"(517, -35459, 'sum')",0
"(580, -35459, 'cfg')","(14, 1, 2)"
"(580, -35459, 'rmse')",0.0
"(580, -35459, 'sum')",0
"(459, -44763, 'cfg')","(7, 1, 2)"
"(459, -44763, 'rmse')",0.0
"(459, -44763, 'sum')",0
"(516, -30755, 'cfg')","(7, 1, 2)"
"(516, -30755, 'rmse')",0.0
"(516, -30755, 'sum')",0
"(280, -30764, 'cfg')","(7, 1, 2)"
"(280, -30764, 'rmse')",0.0
"(280, -30764, 'sum')",0
"(459, -40507, 'cfg')","(7, 1, 2)"
"(459, -40507, 'rmse')",0.0
"(459, -40507, 'sum')",0
"(280, -40562, 'cfg')","(7, 1, 2)"
"(280, -40562, 'rmse')",0.0
"(280, -40562, 'sum')",0
"(459, -40508, 'cfg')","(7, 1, 2)"
"(459, -40508, 'rmse')",0.0
"(459, -40508, 'sum')",0
"(459, -34071, 'cfg')","(7, 1, 2)"
"(459, -34071, 'rmse')",0.0
"(459, -34071, 'sum')",0
"(280, -35452, 'cfg')","(14, 1, 4)"
"(280, -35452, 'rmse')",0.0
"(280, -35452, 'sum')",0
