0,-48456,47.690000000000005,31
1,-48453,4.7700000000000005,3
2,-48415,33.93,17
3,-48395,3.18,2
4,-48361,10.95,5
5,-48360,8.76,4
6,-48356,19.77,7
7,-48325,421.10000000000025,116
8,-48221,170.79000000000002,21
9,-48099,60.42000000000001,38
10,-48066,17.97,3
11,-48053,307.44000000000017,56
12,-48050,1234.4900000000052,664
13,-48041,143.75,25
14,-47966,216.99000000000004,36
15,-47965,195.89999999999995,101
16,-47463,295.7000000000004,130
17,-47462,532.2500000000009,250
18,-47461,401.14000000000027,81
19,-47416,2463.130000000002,1859
20,-47182,543.0600000000003,390
21,-47109,13133.370000000054,6791
22,-46879,631.6700000000005,1425
23,-46768,4308.6399999999985,1342
24,-46756,800.0499999999985,165
25,-46755,4949.77999999998,2426
26,-46754,1506.0900000000063,311
27,-46753,1572.120000000005,323
28,-46752,1914.7100000000073,1007
29,-46751,4143.019999999933,2429
30,-46750,3339.8499999999685,1465
31,-46749,2649.059999999984,894
32,-46747,2132.2500000000045,1075
33,-46746,1227.8100000000045,619
34,-46743,273.55000000000035,145
35,-46742,477.54000000000116,246
36,-46741,1517.2899999999931,989
37,-46739,5441.729999999951,2159
38,-46738,3935.7499999999663,1628
39,-46737,1950.4100000000028,363
40,-46736,11613.180000000057,4555
41,-46734,2058.3099999999868,1345
42,-46732,3197.7400000000325,2269
43,-46731,8050.309999999973,3837
44,-46730,735.4899999999984,151
45,-46729,723.2299999999991,162
46,-46728,9213.67999999985,1724
47,-46725,5294.219999999979,2590
48,-46724,5006.619999999989,2369
49,-46723,10426.829999999945,5111
50,-46721,5406.719999999928,779
51,-46720,6369.590000000059,4814
52,-46719,2124.8700000000204,1009
53,-46718,1344.7500000000027,275
54,-46717,1112.4699999999993,228
55,-46716,6264.779999999925,3774
56,-46715,2479.669999999978,1477
57,-46714,433.8600000000014,511
58,-46713,2666.709999999998,589
59,-46712,1108.3200000000054,770
60,-46711,2047.5400000000034,1081
61,-46710,2563.2999999999747,1551
62,-46660,12763.899999999985,6289
63,-46584,861.3000000000037,448
64,-46273,493.2699999999998,245
65,-46202,576.51,290
66,-46201,221.58000000000013,42
67,-46004,272.94,46
68,-46003,188.99999999999997,45
69,-46002,479.72000000000014,28
70,-45980,921.5700000000018,243
71,-45979,2342.9399999999923,606
72,-45927,793.409999999997,469
73,-45922,1632.0900000000051,666
74,-45917,10079.119999999712,4088
75,-45915,3836.7800000000307,2444
76,-45914,9022.760000000031,4165
77,-45913,2215.230000000012,457
78,-45912,1233.7900000000009,843
79,-45911,3786.8100000000554,1783
80,-45908,1425.9900000000032,301
81,-45907,3956.5499999999643,1479
82,-45906,4719.5399999999545,1701
83,-45905,1751.0300000000084,362
84,-45904,4169.53999999996,1506
85,-45903,7370.880000000141,4988
86,-45902,2268.2099999999987,929
87,-45901,11669.990000000304,7732
88,-45900,2497.9900000000125,1712
89,-45899,815.9800000000064,490
90,-45898,914.8900000000077,551
91,-45897,5610.069999999991,2620
92,-45896,7998.079999999814,2692
93,-45895,7968.249999999815,2675
94,-45894,1742.9500000000182,821
95,-45893,1547.350000000011,1565
96,-45892,1719.7400000000043,577
97,-45891,2863.2099999999587,1686
98,-45890,1873.720000000005,628
99,-45779,3015.9600000000028,464
100,-45778,1524.6000000000017,342
101,-45710,6752.6799999999475,2610
102,-45668,7391.639999999845,1242
103,-45661,595.3200000000004,68
104,-45527,3801.810000000022,1977
105,-45526,8842.85000000002,3206
106,-45525,3554.9799999999677,605
107,-45524,2375.5299999999916,404
108,-45445,299.26000000000016,116
109,-45437,1052.5200000000013,219
110,-45436,428.53000000000054,119
111,-45434,414.18000000000046,102
112,-45420,95.83,25
113,-45419,91.78,24
114,-45393,59.14000000000003,48
115,-45242,4379.870000000006,3595
116,-45241,7205.659999999941,4321
117,-45240,5907.990000000035,4808
118,-45239,3910.7,2458
119,-45209,5652.199999999943,2203
120,-45171,218.97999999999993,105
121,-45170,201.97000000000003,97
122,-45169,755.3199999999998,374
123,-45166,208.81000000000003,19
124,-45163,1649.8,1070
125,-45162,1609.1699999999996,1022
126,-45161,1244.19,797
127,-45059,766.4000000000004,60
128,-44985,37.0,37
129,-44976,10531.41000000025,3923
130,-44975,751.8800000000009,490
131,-44954,158.12000000000003,64
132,-44953,138.19999999999993,56
133,-44952,183.0200000000001,74
134,-44951,2076.3200000000043,844
135,-44950,3479.7299999999614,1377
136,-44829,2525.5499999999897,805
137,-44774,1418.570000000001,143
138,-44772,2132.4200000000014,258
139,-44771,673.4600000000003,54
140,-44770,1084.6500000000005,85
141,-44763,1.25,1
142,-44729,461.0,463
143,-44728,275.55999999999983,148
144,-44727,808.1100000000031,473
145,-44570,2918.410000000029,1537
