,item_id,site_id,total_sales,product_name
99,-12149,589,4735.16,HER KG 2.7z CARAMELLO
100,-11982,517,4727,E FRUTTI 2.7z LNCH BAG
101,-41883,399,4722.35,WRI KG EXTRA POLAR ICE MGPK
102,-16893,554,4676.65,MAR KG 3z TWIX CARM 4 TO GO
103,-12116,399,4646.82,WRI 5 RAIN
104,-35262,517,4638.51, SWEETART ROPE KG 3.5z
105,-29955,399,4630.21,MAR SNICKERS 1.86z
106,-41480,517,4622.44,MAR M&M PEANUT SUB 10.7z
107,-21234,459,4614.36,MAR KG 2.83z M&M PB
108,-38014,380,4569.59, SWEETARTS 5z CHWY ROPE BAG
109,-27619,380,4518.98,MAR KG SNICKERS PB SQRD 3.56z
110,-12100,517,4509.33,WRI EXTRA POLAR ICE
111,-12112,399,4498.55,WRI 5 COBALT
112,-38020,517,4490.65,PERF AIRHD 6z XTRM BRY BITES BAG
113,-41479,517,4468.61,WRI STARBURST 8z MINIS FAVREDS
114,-14148,280,4442.74,MAR KG 3.29z SNICKERS 2 PIECE
115,-12102,517,4437.4,WRI EXTRA SPEARMINT
116,-42564,517,4424.83,SWTRTS ROPE STRWBRY KG 3.5z
117,-16893,280,4415.83,MAR KG 3z TWIX CARM 4 TO GO
118,-29955,580,4413.2,MAR SNICKERS 1.86z
119,-41213,517,4397.44,MAR KG 2.83z M&M CARM
120,-34776,516,4397.43,I*MAR KG TWIX PB 2.8z
121,-12286,380,4393.7,HER REESES PB CUP 1.5z
122,-12116,517,4372.04,WRI 5 RAIN
123,-12288,399,4355.98,HER KIT KAT 1.5z
124,-32335,517,4342.31,HI CHEW 3.53z MIX BAG
125,-12154,380,4324.96,BUTTERFINGER KG 3.7z
126,-25200,589,4291.71,TOPPS PUSH POP JUMBO
127,-27907,517,4253.96,SWEETS 5z CHOC CINN BEAR BAG
128,-34386,517,4248.72,ALB 9z GMI BEARS 12 FLAVOR SUB
129,-30263,517,4242.16,MAR KG M&M MINIS MEGA TUBE 1.77z
130,-34365,589,4222.62,TROLLI 4z SR BRT EGGS BAG
131,-12157,516,4201.65,MAR KG 3.23z SNICKERS ALMD
132,-40261,380,4158.68,TRKR SNK 5z PEACH RING BAG
133,-29955,589,4149.6,MAR SNICKERS 1.86z
134,-12001,517,4137.09,WW AUS LIC WTRMLN BAG 10z
135,-12286,589,4133.32,HER REESES PB CUP 1.5z
136,-12012,517,4129.98,WW AUS LIC RED BAG 10z
137,-12169,589,4128.73,HER KG 2.8z REESES BIG CUP
138,-41883,459,4128.57,WRI KG EXTRA POLAR ICE MGPK
139,-41487,380,4112.06,GUSHERS 4.25z FLVR MIX BAG
140,-12175,580,4100.67,PEARSON KG 3.5z NUT ROLL
141,-12246,517,4076.28,HER CKIE N CRM 1.55z
142,-34369,517,4055.15,HI CHEW 3.53z MIX TROP BAG
143,-12245,380,4050.75,HER CARAMELLO 1.6z
144,-12175,459,4030.32,PEARSON KG 3.5z NUT ROLL
145,-34776,589,4023.68,I*MAR KG TWIX PB 2.8z
146,-29955,516,3989.15,MAR SNICKERS 1.86z
147,-12355,517,3972.53,HER MILK DUDS 5z
148,-12171,601,3962.48,HER KG 2.8z REESES PB CUP
149,-12245,517,3952.38,HER CARAMELLO 1.6z
150,-40287,517,3952.07,HARIBO GMI 5z PEACH BAG
151,-41883,589,3939.5,WRI KG EXTRA POLAR ICE MGPK
152,-27907,589,3914.07,SWEETS 5z CHOC CINN BEAR BAG
153,-16894,517,3913.21,MAR TWIX CARM 1.79z
154,-34776,580,3909.54,I*MAR KG TWIX PB 2.8z
155,-38014,459,3909.45, SWEETARTS 5z CHWY ROPE BAG
156,-12172,554,3900.27,HER KG 3z REESES STICKS
157,-43535,517,3894.07,HER KG 2.95z REESES OUTRGS
158,-43016,399,3861.33,MON SOUR PATCH 8z KIDS WTRMLN BAG
159,-12288,580,3851.1,HER KIT KAT 1.5z
160,-12175,589,3839.32,PEARSON KG 3.5z NUT ROLL
161,-12286,516,3830.21,HER REESES PB CUP 1.5z
162,-12169,516,3821.53,HER KG 2.8z REESES BIG CUP
163,-12288,459,3820.55,HER KIT KAT 1.5z
164,-12171,280,3815.68,HER KG 2.8z REESES PB CUP
165,-42976,589,3814.59,MON SOUR PATCH 8z KIDS
166,-12308,517,3793.73,STK MAMBA CHEW 2.8z
167,-12268,517,3786.14,MAR M&M PEANUT 1.74z
168,-42849,517,3776.32,KINDER JOY 7z
169,-43016,380,3771.49,MON SOUR PATCH 8z KIDS WTRMLN BAG
170,-12288,589,3770.54,HER KIT KAT 1.5z
171,-12286,580,3766.55,HER REESES PB CUP 1.5z
172,-38673,517,3751.18,HER KG KIT KAT BIG KAT 3z
173,-34365,380,3745.46,TROLLI 4z SR BRT EGGS BAG
174,-31934,517,3740.77,HER KIT KAT 7.6z MINIS PCH SUB
175,-32335,380,3734.57,HI CHEW 3.53z MIX BAG
176,-34776,399,3730.81,I*MAR KG TWIX PB 2.8z
177,-41882,380,3719.89,WRI KG EXTRA SPEARMINT MGPK
178,-41213,380,3717.74,MAR KG 2.83z M&M CARM
179,-43016,459,3701.49,MON SOUR PATCH 8z KIDS WTRMLN BAG
180,-12154,516,3696.35,BUTTERFINGER KG 3.7z
181,-12246,380,3686.23,HER CKIE N CRM 1.55z
182,-12154,399,3679.15,BUTTERFINGER KG 3.7z
183,-43016,580,3666.5,MON SOUR PATCH 8z KIDS WTRMLN BAG
184,-12288,516,3664.18,HER KIT KAT 1.5z
185,-38020,380,3656.68,PERF AIRHD 6z XTRM BRY BITES BAG
186,-38009,517,3655.25,PERF AIRHD 6z SFT FILL BITES BAG
187,-17187,589,3642.89,HARIBO GMI 5z GOLD BEARS BAG
188,-12284,380,3632.55,HER REESES FAST BREAK 1.8z
189,-41479,380,3628.17,WRI STARBURST 8z MINIS FAVREDS
190,-12286,399,3608.33,HER REESES PB CUP 1.5z
191,-11981,517,3601.27,WRI LFSVR GMI 7z 5 FLAVOR BAG
192,-12157,399,3592.39,MAR KG 3.23z SNICKERS ALMD
193,-41882,459,3592.24,WRI KG EXTRA SPEARMINT MGPK
194,-12284,516,3587.52,HER REESES FAST BREAK 1.8z
195,-11982,380,3584.85,E FRUTTI 2.7z LNCH BAG
196,-12016,517,3575.66,HER TWZ 6z CHRY NIBS BAG
197,-40261,580,3571.46,TRKR SNK 5z PEACH RING BAG
198,-12157,580,3568.88,MAR KG 3.23z SNICKERS ALMD
199,-34369,380,3564.74,HI CHEW 3.53z MIX TROP BAG
200,-12291,380,3560.65,HER MILK CHOC 1.55z
201,-12169,580,3550,HER KG 2.8z REESES BIG CUP
202,-41213,399,3544.14,MAR KG 2.83z M&M CARM
203,-14148,601,3537.9,MAR KG 3.29z SNICKERS 2 PIECE
204,-12165,554,3535.78,MAR KG 3.27z M&M PEANUT
205,-43535,380,3525.45,HER KG 2.95z REESES OUTRGS
206,-38016,517,3523.81,WRI LFSVR GMI 7z MIX BRY BAG
207,-40261,589,3514.3,TRKR SNK 5z PEACH RING BAG
208,-12154,580,3506.39,BUTTERFINGER KG 3.7z
209,-12291,517,3501.75,HER MILK CHOC 1.55z
210,-12153,517,3495.28,HER KG 2.6z MILK CHOC
211,-41479,589,3473.92,WRI STARBURST 8z MINIS FAVREDS
212,-34776,459,3469.13,I*MAR KG TWIX PB 2.8z
213,-43535,399,3457.2,HER KG 2.95z REESES OUTRGS
214,-27142,517,3452.57,HER REESES 6z PIECES BAG
215,-40261,459,3446,TRKR SNK 5z PEACH RING BAG
216,-12148,517,3424.26,HER KG 2.6z ALMD
217,-12166,517,3418.38,MAR KG 3.14z M&M PLAIN
218,-42976,380,3404.28,MON SOUR PATCH 8z KIDS
219,-29955,459,3402.19,MAR SNICKERS 1.86z
220,-12169,459,3401.73,HER KG 2.8z REESES BIG CUP
221,-38004,517,3399.93,AM LIC SOUR PNCH 9z ASRTD SUB
222,-12150,517,3391.07,HER KG 2.6z COOKIE N CRM
223,-12295,380,3389.92,ANB BIG HUNK 2z
224,-41213,516,3386.14,MAR KG 2.83z M&M CARM
225,-38009,380,3378.45,PERF AIRHD 6z SFT FILL BITES BAG
226,-12100,399,3362.12,WRI EXTRA POLAR ICE
227,-30263,380,3351.8,MAR KG M&M MINIS MEGA TUBE 1.77z
228,-12291,589,3343.91,HER MILK CHOC 1.55z
229,-12157,589,3342.93,MAR KG 3.23z SNICKERS ALMD
230,-17227,380,3342.47,TROLLI 5Z SR BRT CRWLR BAG
231,-41883,380,3339.62,WRI KG EXTRA POLAR ICE MGPK
232,-31935,380,3339.29,HER REESES 7.6z PB CUP MINIS SUB
233,-43016,516,3332.9,MON SOUR PATCH 8z KIDS WTRMLN BAG
234,-12151,601,3331.03,HER KG 3.5z REESES FAST BREAK
235,-17227,589,3327.79,TROLLI 5Z SR BRT CRWLR BAG
236,-12151,280,3323.47,HER KG 3.5z REESES FAST BREAK
237,-41882,589,3320.67,WRI KG EXTRA SPEARMINT MGPK
238,-12284,580,3309.45,HER REESES FAST BREAK 1.8z
239,-41487,459,3299.24,GUSHERS 4.25z FLVR MIX BAG
240,-41882,580,3293.74,WRI KG EXTRA SPEARMINT MGPK
241,-12152,280,3289.57,HER KG 3z KIT KAT
242,-12246,589,3289.18,HER CKIE N CRM 1.55z
243,-42977,517,3285.5,MON SWEDISH FISH 8z RED BAG
244,-41882,516,3280.72,WRI KG EXTRA SPEARMINT MGPK
245,-12027,517,3275.03,HARIBO GMI 5z RNBW FROGS BAG
246,-12167,517,3274.59,MAR KG 3.6z MILKY WAY
247,-11982,589,3267.21,E FRUTTI 2.7z LNCH BAG
248,-17187,380,3259.16,HARIBO GMI 5z GOLD BEARS BAG
249,-42849,380,3249.7,KINDER JOY 7z
